Ciupa,25,60,80,40
Dupa,40,5,17,75
Kupa,60,300,29,88
Ziomek,79,80,55,150
Czopek,100,20,89,170
Lolek,150,20,10,190
Wacek,230,10,3,220
Sacek,60,70,220,60
Jacek,50,110,190,110
Lupa,70,190,169,145
Ciupa,52,40,120,120
Dupa,68,25,111,140
Kupa,70,35,299,145
Ziomek,90,40,120,132
Czopek,66,42,143,161
Lolek,79,110,111,171
Wacek,88,140,150,145
Sacek,27,240,143,168
Jacek,30,111,138,191
Lupa,60,33,123,151
Ciupa,96,29,180,122
Dupa,54,41,171,154
Kupa,60,99,168,133
Ziomek,129,12,143,152
Czopek,110,61,166,144
Lolek,150,46,154,149
Wacek,65,25,120,132
Sacek,69,35,135,155
Jacek,75,34,165,165
Lupa,81,21,190,142
Ciupa,43,55,150,133
Dupa,49,43,145,138
Kupa,54,21,149,134
Ziomek,64,28,141,189
Czopek,74,49,131,310
Lolek,84,54,169,330
Wacek,94,43,165,140
Sacek,62,21,154,160
Jacek,69,94,142,154
Lupa,76,12,158,146
Ciupa,83,22,192,141
Dupa,90,29,199,158
Kupa,97,25,100,137
Ziomek,104,24,50,133
Czopek,70,46,129,139
Lolek,76,54,134,145
Wacek,54,38,159,149
Sacek,89,31,141,161
Jacek,50,24,135,155
Lupa,43,35,143,146
Ciupa,49,34,166,141
Dupa,54,21,154,158
Kupa,64,55,120,137
Ziomek,74,43,135,133
Czopek,84,21,165,139
Lolek,94,28,190,145
Wacek,62,49,150,149
Sacek,69,54,145,161
Jacek,76,43,149,155
Lupa,83,35,141,146
Ciupa,90,34,131,141
Dupa,97,21,169,158
Kupa,104,55,143,137
Ziomek,70,43,166,133
Czopek,76,21,154,139
Lolek,54,28,120,145
Wacek,89,49,135,149
Sacek,50,54,165,161
Jacek,43,43,190,155
Lupa,49,35,150,146
Ciupa,54,34,145,141
Dupa,64,21,149,158
Kupa,74,55,141,137
Ziomek,84,43,131,133
Czopek,94,21,169,139
Lolek,62,28,143,145
Wacek,69,49,166,149
Sacek,76,54,154,161
Jacek,83,43,120,155
Lupa,90,35,135,146
Ciupa,97,34,165,141
Dupa,104,21,190,158
Kupa,70,55,150,137
Ziomek,76,43,145,133
Czopek,54,21,149,139
Lolek,89,28,141,145
Wacek,50,49,131,149
Sacek,43,54,169,161
Jacek,49,43,143,155
Lupa,54,35,166,146
Ciupa,64,34,154,141
Dupa,74,21,120,158
Kupa,84,55,135,137
Ziomek,94,43,165,133
Czopek,62,21,190,139
Lolek,69,28,150,145
Wacek,76,49,145,149
Sacek,83,54,149,161
Jacek,90,43,141,155
Lupa,97,170,131,143
