Porygon,224,70,175,56
Porygon,229,160,147,132
Porygon,94,116,189,75
Porygon,142,64,166,129
Porygon,170,155,167,38
Porygon,235,146,227,100
Porygon,155,98,37,136
Porygon,26,89,121,52
Porygon,114,40,72,91
Porygon,166,20,217,132
Porygon,95,6,101,102
Porygon,255,141,193,138
Porygon,238,163,208,57
Porygon,17,113,140,97
Porygon,195,7,174,114
Porygon,131,19,174,73
Porygon,188,131,102,27
Porygon,124,35,90,90
Porygon,119,88,8,148
Porygon,38,115,127,9
Porygon,101,145,224,13
Porygon,48,82,117,153
Porygon,157,36,120,98
Porygon,105,127,138,123
Porygon,92,91,70,46
Porygon,53,22,19,80
Porygon,149,26,92,128
Porygon,119,32,129,45
Porygon,32,62,104,83
Porygon,83,103,54,123
Porygon,185,97,228,153
Porygon,175,140,204,46
Porygon,21,108,130,47
Porygon,204,56,230,100
Porygon,213,17,16,74
Porygon,6,145,226,17
Porygon,65,49,18,117
Porygon,220,11,180,59
Porygon,214,128,88,104
Porygon,125,72,202,115
Porygon,117,85,59,65
Porygon,81,148,95,104
Porygon,172,165,55,88
Porygon,44,38,222,20
Porygon,44,69,8,6
Porygon,221,15,72,94
Porygon,135,123,177,92
Porygon,214,106,198,64
Porygon,56,18,103,59
Porygon,92,120,221,82
Porygon,22,17,39,159
Porygon,61,143,96,143
Porygon,72,52,221,54
Porygon,239,107,178,91
Porygon,169,45,47,99
Porygon,16,92,5,18
Porygon,110,85,83,59
Porygon,93,79,113,32
Porygon,50,62,45,137
Porygon,41,158,15,17
Porygon,112,44,88,115
Porygon,136,39,180,154
Porygon,73,67,122,61
Porygon,63,114,162,36
Porygon,88,102,85,116
Porygon,23,11,78,83
Porygon,20,79,30,144
Porygon,250,132,219,80
Porygon,54,35,10,84
Porygon,125,109,143,60
Porygon,170,136,228,37
Porygon,167,127,72,104
Porygon,169,159,150,38
Porygon,230,14,229,89
Porygon,230,112,44,93
Porygon,125,12,51,43
Porygon,134,9,27,106
Porygon,59,31,144,114
Porygon,62,70,110,129
Porygon,27,149,130,58
Porygon,134,6,21,21
Porygon,202,10,175,73
Porygon,207,137,109,70
Porygon,245,113,123,28
Porygon,208,164,111,25
Porygon,20,39,221,142
Porygon,235,63,110,103
Porygon,95,121,79,139
Porygon,245,75,206,42
Porygon,234,69,19,100
Porygon,185,87,49,40
Porygon,85,70,6,112
Porygon,251,146,121,125
Porygon,112,132,135,148
Porygon,106,110,108,122
Porygon,85,28,168,17
Porygon,246,151,196,136
Porygon,233,125,143,88
Porygon,84,123,178,45
Porygon,213,105,13,76
Porygon,52,11,17,83
Porygon,233,107,82,90
Porygon,237,132,75,94
Porygon,18,26,217,122
Porygon,84,39,126,144
Porygon,253,12,5,103
Porygon,51,133,118,24
Porygon,128,45,158,91
Porygon,254,125,27,102
Porygon,72,132,162,46
Porygon,26,14,61,150
Porygon,71,7,115,24
Porygon,255,163,106,50
Porygon,153,126,222,28
Porygon,90,140,229,68
Porygon,121,93,137,6
Porygon,173,64,181,44
Porygon,209,33,15,160
Porygon,6,22,217,144
Porygon,214,21,26,106
Porygon,230,12,136,54
Porygon,74,93,107,6
Porygon,164,46,6,43
Porygon,6,84,166,113
Porygon,192,99,173,158
Porygon,222,13,20,30
Porygon,182,162,174,129
Porygon,98,27,199,144
Porygon,247,60,25,104
Porygon,240,59,130,149
Porygon,28,29,150,132
Porygon,57,100,93,139
Porygon,188,64,200,138
Porygon,59,114,193,81
Porygon,42,121,98,51
Porygon,89,102,94,105
Porygon,95,24,37,122
Porygon,166,138,51,72
Porygon,120,107,64,118
Porygon,55,118,54,66
Porygon,102,46,6,30
Porygon,151,72,151,139
Porygon,255,10,16,48
Porygon,54,41,126,33
Porygon,88,98,173,47
Porygon,34,147,125,151
Porygon,215,74,124,22
Porygon,160,34,52,34
Porygon,247,141,147,76
Porygon,136,5,196,79
Porygon,166,57,147,62
Porygon,249,7,81,64
Porygon,220,160,212,22
Porygon,169,153,196,101
Porygon,70,146,182,106
Porygon,238,156,104,28
Porygon,150,139,18,130
Porygon,208,12,17,59
Porygon,124,81,108,46
Porygon,27,59,116,15
Porygon,202,161,32,122
Porygon,150,51,156,85
Porygon,202,113,190,86
Porygon,151,72,202,48
Porygon,166,22,212,127
Porygon,32,71,5,26
Porygon,144,66,71,52
Porygon,76,125,21,73
Porygon,107,112,193,54
Porygon,50,54,48,68
Porygon,205,72,156,91
Porygon,199,76,47,6
Porygon,111,148,29,148
Porygon,79,50,202,42
Porygon,216,30,189,80
Porygon,128,39,103,61
Porygon,139,140,211,64
Porygon,122,112,55,120
Porygon,77,161,150,87
Porygon,141,9,52,100
Porygon,141,147,77,74
Porygon,161,88,46,123
Porygon,74,92,39,91
Porygon,102,86,115,31
Porygon,252,43,201,77
Porygon,136,95,87,14
Porygon,101,141,48,53
Porygon,83,73,117,61
Porygon,19,83,135,74
Porygon,29,104,68,110
Porygon,23,51,178,65
Porygon,59,68,189,104
Porygon,8,102,105,29
Porygon,17,114,87,107
Porygon,238,163,55,66
Porygon,183,66,192,34
Porygon,23,140,54,21
Porygon,81,112,149,47
Porygon,54,148,87,14
Porygon,102,147,50,93
Porygon,23,28,227,158
Porygon,169,101,28,135
Porygon,184,37,189,153
Porygon,40,24,10,7
Porygon,124,7,155,92
Porygon,186,125,72,105
Porygon,51,83,65,72
Porygon,209,143,179,55
Porygon,39,86,122,127
Porygon,148,92,213,11
Porygon,146,130,63,156
Porygon,49,18,97,21
Porygon,59,116,21,133
Porygon,103,51,129,82
Porygon,110,75,41,57
Porygon,23,118,170,7
Porygon,240,115,173,104
Porygon,188,28,149,49
Porygon,138,141,190,117
Porygon,53,88,183,5
Porygon,2,77,140,19
Porygon,89,57,46,37
Porygon,152,41,5,74
Porygon,193,122,80,121
Porygon,144,147,170,96
Porygon,98,50,170,86
Porygon,239,133,57,129
Porygon,42,90,5,143
Porygon,226,149,63,109
Porygon,51,86,12,137
Porygon,84,51,162,160
Porygon,165,51,149,120
Porygon,15,133,76,54
Porygon,107,11,101,28
Porygon,114,50,86,66
Porygon,236,139,126,8
Porygon,87,102,66,149
Porygon,218,131,112,35
Porygon,92,152,208,95
Porygon,30,72,162,152
Porygon,243,66,92,143
Porygon,5,52,13,121
Porygon,219,47,173,115
Porygon,209,63,68,12
Porygon,217,67,74,114
Porygon,242,77,224,154
Porygon,60,110,219,54
Porygon,255,154,210,85
Porygon,97,59,99,138
Porygon,187,46,16,122
Porygon,159,67,103,81
Porygon,34,120,27,141
Porygon,178,49,43,9
Porygon,240,161,184,69
Porygon,157,142,23,43
Porygon,160,8,96,95
Porygon,203,122,48,16
Porygon,171,145,163,100
Porygon,18,132,99,59
Porygon,241,128,41,7
Porygon,90,156,98,136
Porygon,156,66,115,119
Porygon,5,44,94,65
Porygon,81,69,85,49
Porygon,17,125,183,80
Porygon,135,49,68,88
Porygon,164,55,222,77
Porygon,153,133,101,67
Porygon,61,65,229,110
Porygon,95,99,208,144
Porygon,137,9,180,63
Porygon,108,105,16,72
Porygon,54,102,132,50
Porygon,120,79,22,99
Porygon,235,141,111,43
Porygon,163,83,31,98
Porygon,183,78,33,123
Porygon,118,136,102,48
Porygon,60,145,93,48
Porygon,123,138,92,92
Porygon,138,20,72,102
Porygon,186,55,114,120
Porygon,54,92,105,99
Porygon,253,143,114,58
Porygon,30,135,186,77
Porygon,222,83,209,136
Porygon,149,149,214,147
Porygon,106,90,123,74
Porygon,129,50,140,23
Porygon,200,17,66,57
Porygon,123,86,165,102
Porygon,168,96,15,32
Porygon,170,144,136,26
Porygon,150,45,168,27
Porygon,117,128,142,145
Porygon,97,119,213,156
Porygon,246,8,159,79
Porygon,36,103,183,138
Porygon,95,24,229,52
Porygon,22,99,37,11
Porygon,25,75,197,109
Porygon,231,123,227,148
Porygon,103,113,208,137
Porygon,120,24,210,61
Porygon,118,7,49,108
Porygon,208,55,23,31
Porygon,193,15,36,140
Porygon,45,10,194,86
Porygon,140,16,126,32
Porygon,181,24,21,83
Porygon,26,93,178,19
Porygon,168,158,48,62
Porygon,171,64,45,68
Porygon,111,96,98,27
Porygon,177,37,153,51
Porygon,116,156,228,71
Porygon,108,164,198,148
Porygon,73,79,212,131
Porygon,208,95,136,145
Porygon,6,45,37,122
Porygon,12,121,110,84
Porygon,195,34,75,120
Porygon,216,143,206,130
Porygon,241,118,76,19
Porygon,126,153,18,69
Porygon,30,155,96,49
Porygon,110,47,206,14
Porygon,124,76,145,79
Porygon,42,118,221,71
Porygon,91,51,161,37
Porygon,159,51,204,125
Porygon,245,148,73,129
Porygon,201,17,136,18
Porygon,30,155,177,59
Porygon,104,41,78,48
Porygon,73,155,209,154
Porygon,34,71,14,53
Porygon,157,134,197,40
Porygon,18,140,76,106
Porygon,202,58,52,43
Porygon,147,104,80,72
Porygon,32,152,15,136
Porygon,221,96,14,112
Porygon,37,138,148,43
Porygon,146,72,134,154
Porygon,238,124,32,158
Porygon,205,138,198,135
Porygon,148,23,132,69
Porygon,86,12,179,24
Porygon,191,55,192,20
Porygon,206,21,131,23
Porygon,241,92,17,29
Porygon,10,88,28,30
Porygon,212,30,18,74
Porygon,115,56,45,138
Porygon,148,147,163,71
Porygon,225,10,142,23
Porygon,24,130,184,26
Porygon,74,72,218,70
Porygon,44,11,171,41
Porygon,205,42,195,151
Porygon,147,12,87,57
Porygon,196,138,56,52
Porygon,225,161,156,36
Porygon,244,30,178,104
Porygon,98,101,201,91
Porygon,204,134,148,91
Porygon,54,123,127,80
Porygon,174,120,163,79
Porygon,93,75,205,46
Porygon,12,79,230,48
Porygon,245,90,29,56
Porygon,217,33,54,135
Porygon,177,51,39,128
Porygon,217,126,222,120
Porygon,12,91,80,100
Porygon,157,26,101,156
Porygon,99,23,98,38
Porygon,91,145,218,82
Porygon,218,108,217,43
Porygon,79,107,155,112
Porygon,110,144,194,62
Porygon,11,120,146,72
Porygon,126,59,84,154
Porygon,214,20,5,79
Porygon,104,135,126,8
Porygon,21,164,110,26
Porygon,206,100,211,34
Porygon,167,78,174,18
Porygon,116,149,92,118
Porygon,39,16,100,30
Porygon,249,122,94,48
Porygon,166,98,89,6
Porygon,24,67,36,148
Porygon,145,24,159,106
Porygon,206,109,8,10
